Threshold,Mean Average Precision,Mean Response Time,Throughput
-9999.999,0.3788103158893976,0.2629861333333333,3.80248185455659
0.1,0.3788103158893976,0.23801644000000008,4.201390458575045
0.2,0.3788103158893976,0.22960208888888894,4.3553610720150235
0.30000000000000004,0.3788103158893976,0.22487276888888888,4.446959073528848
0.4,0.3788103158893976,0.22705441777777774,4.404230535512936
0.5,0.3788103158893976,0.23239915555555554,4.302941624763984
0.6,0.3788103158893976,0.23227503111111114,4.305241055038929
0.7000000000000001,0.38434582821419877,0.19759498666666653,5.060857144553738
0.8,0.39092581868493914,0.1852703733333333,5.397517055794063
0.9,0.3904229305255862,0.17059371111111118,5.861880801389446
1.0,0.38989171595976246,0.167190911111111,5.981186377622072
1.1,0.39273673418341054,0.15816336444444454,6.32257668210677
1.2000000000000002,0.39261748965283944,0.15888810222222222,6.293737454308515
1.3000000000000003,0.38962303145535165,0.15323135111111105,6.526079635458415
1.4000000000000001,0.38894578399316554,0.15045966222222218,6.646299647562978
-9999.999,0.38954229070338986,1.2328270844444438,0.8111437626718235
0.1,0.38954229070338986,1.2280981555555561,0.8142671621777894
0.2,0.38893529937701804,0.3467712355555556,2.8837455286564326
0.30000000000000004,0.3895015868025682,0.44970539111111096,2.2236780340330076
0.4,0.39004044344399913,0.30714837777777754,3.2557554340186097
0.5,0.3869451885551778,0.2943132177777777,3.397740704785654
0.6,0.3860982020870977,0.27824275111111135,3.5939840157800464
0.7000000000000001,0.38530416466488204,0.2725203200000001,3.6694511440467985
0.8,0.38375041700434426,0.2782836,3.5934564595254623
0.9,0.3776272543793101,0.25313572444444427,3.950449910595176
1.0,0.3783966876811738,0.2413110666666667,4.144028758454509
1.1,0.37748805525600576,0.23379596444444437,4.277233793903335
1.2000000000000002,0.3737324270761725,0.2149491644444445,4.652262792389029
1.3000000000000003,0.3758240874768995,0.20481506222222215,4.882453415047233
1.4000000000000001,0.3744443331078294,0.19883889777777775,5.0291970594083635
